,tx_hash,gas_diff,input_size,victim_balance_delta,attacker_balance_delta,label
0,0x088e0c431eb912fc6825d4454fd4235f8f74fafcbb1d37b70e441561cf3fb438,31112,74,-7500000000000000000,100000000000000000,1
1,0xcacd59cb7796d1e8bcc7c8e125b9b4c4c47a00fd8b17d243cbf39b780022bba2,0,74,-3000000000000000000,0,2
2,0x41e7a493b5d618f506f1ccea24968271fe92ce1720876d92488439b753a24d28,543,74,1050000000000000000,10000000000000000,3
3,0x41e7a493b5d618f506f1ccea24968271fe92ce1720876d92488439b753a24d28,543,74,1050000000000000000,10000000000000000,24
4,0x6b5c12b751792983219d19589007e7f55e714b59c8379b765cbb47a823dbe694,0,74,-1000000000000000000,-3000000000000000000,4
5,0xae2c56c87ee2992f3b87023e8d2c64a292542bb8fd8578f013995691185a3fe6,42598,74,-11000000000000000000,10000000000000000000,5
6,0xf7c426e313e7f80eae9237be3a2cf661cbbaffd62ac4cd32298baa594aa26944,3467,74,3000000000000000000,-1500000000000000000,6
7,0x08ef3009f032b23f4b908daa3dee191cf3ea192ed200176026e6851ed83bcc8f,24514,74,5000000000000000000,1000000000000000000,7
8,0x0891da692a62ae11097a2554eb707679c76ffbcfd878d410d5b1d2189f5d6c7f,45906,74,-5000000000000000000,3300000000000000000,8
9,0xc0d82276c0d43c822bc2be841b77aad673d0b58b4fcd541dece906f309ec5797,638,74,3300000000000000000,-1200000000000000000,9
10,0x56f1226f31220abf1ea1f924331aaf39d2c28b9d80ebd7a5be8fe3b491edf9ff,8868,74,1700000000000000000,-2600000000000000000,10
11,0xcc18cc4097e24708d675892e7c770eaa169750f086b2762b2fd5fa878ff22a8a,527,74,2300000000000000000,-2000000000000000000,11
12,0x7eeb855fddab8fef4ed65b328c3b3eeca5f68b9c2dcba84b331d0d7935ee3296,3469,74,-5300000000000000000,2000000000000000000,12
13,0x1c7865d2cc6f2b4e7699b1243e288c36af18575704674e0937ea10c50e522fed,1137,74,-5000000000000000000,5000000000000000000,13
14,0xb724210fdc995040bfa60942641cf2f7eac005b28111dc5fd404dd8a91abfc90,386,74,-1000000000000000000,1000000000000000000,14
15,0x5eae6403a0231fce44a2d101ee76f8f3cf5ac79ab6a549322ca7068a616c288f,15898,74,-7100000000000000000,6100000000000000000,15
16,0x2aa709dfcb269bb9ed9b6372b3136c7f783d48594a271af534baa6172dbfde17,593,74,0,500000000000000000,16
17,0xb6502f6055c8d167011cb82a52545277a7cd972eb10800f33804b7c338466c98,2344,74,-2000000000000000000,500000000000000000,17
18,0x771f14e21b57393c75ce5d7d1138128c14c390fdc16ebf17531d597a37bb8631,29518,74,-2000000000000000000,11000000000000000000,18
19,0x9540ac383c09b52e175232e842430dc7ba8f485b44da1e8bce95d4d58cbdb58f,3594,74,-11000000000000000000,3000000000000000000,19
20,0x20b93652a020d896e8c14f85147fa6fc855d0c74a028dec87ef965fdd7a56074,927,74,0,0,20
21,0x37875123673ea7b5a0070ee86aef38fd6761b6a5c581e4b304376bfe56bbdb65,2197,74,0,0,21
22,0x1d5a8dda5f379edb01b02f1e73685aff49a6715790f84a071890e628e64f02aa,2446,74,3000000000000000000,1000000000000000000,22
23,0x2492d1be579ba1d7a5933f5b9e000b27d68c9680a61432eaa6cf34d012550c30,5112,74,-9050000000000000000,5990000000000000000,23
24,0xbf595d8b0bc095d91a47ccb8c85a089e62f7876c97f078e9bd9172287aa7f679,4285,74,,,25
